country_code,count,percentage
USA,4248,67.48
missing,628,9.98
GBR,297,4.72
CAN,169,2.68
DEU,118,1.87
ISR,107,1.7
FRA,94,1.49
CHN,61,0.97
ESP,58,0.92
IND,50,0.79
IRL,34,0.54
SWE,30,0.48
NLD,27,0.43
AUS,26,0.41
SGP,24,0.38
ITA,24,0.38
RUS,23,0.37
DNK,23,0.37
FIN,19,0.3
CHE,19,0.3
BRA,19,0.3
BEL,17,0.27
JPN,15,0.24
AUT,14,0.22
ARG,12,0.19
NOR,12,0.19
HKG,9,0.14
CHL,8,0.13
MYS,8,0.13
KOR,7,0.11
NZL,7,0.11
ARE,7,0.11
MEX,6,0.1
ZAF,6,0.1
TUR,5,0.08
EST,5,0.08
HUN,4,0.06
POL,4,0.06
IDN,4,0.06
GRC,3,0.05
PRT,3,0.05
CZE,3,0.05
PAK,3,0.05
BGR,3,0.05
LUX,3,0.05
LVA,2,0.03
ISL,2,0.03
THA,2,0.03
LTU,2,0.03
PER,2,0.03
JOR,2,0.03
BHR,1,0.02
COL,1,0.02
VNM,1,0.02
NGA,1,0.02
SVN,1,0.02
UGA,1,0.02
URY,1,0.02
ROM,1,0.02
CRI,1,0.02
PHL,1,0.02
LBN,1,0.02
BMU,1,0.02
SOM,1,0.02
MKD,1,0.02
SYC,1,0.02
MAF,1,0.02
TWN,1,0.02
