rank,predictor,mean_abs_shap,mean_shap
1,market,0.20857385,-0.1869317
2,funding_total_usd,0.12514305,-0.060379792
3,has_round_c,0.06299782,0.06299782
4,founded_year,0.047536395,-0.016431486
5,debt_financing,0.04176534,0.011784262
6,country_code,0.03952303,0.0057215746
7,funding_duration_days,0.039064966,0.025275307
8,venture,0.032746587,-0.018667499
9,private_equity,0.02664568,0.02664568
10,angel,0.026113415,-0.026105026
11,avg_days_between_rounds,0.025637202,0.021560587
12,funding_rounds,0.02088053,0.01117706
13,seed,0.015435402,0.0012630959
14,has_round_a,0.008502468,0.00847455
15,has_round_b,0.007839182,0.006731309
16,has_round_d,0.0017857357,0.0017855049
17,undisclosed,0.0004529836,0.00045241963
18,is_single_round,0.00036103482,-0.00032267664
19,has_round_e,5.819574e-05,-5.819574e-05
