feature,feature_group
funding_total_usd,funding_scale
seed,funding_scale
venture,funding_scale
angel,funding_scale
debt_financing,funding_scale
private_equity,funding_scale
undisclosed,funding_scale
founded_year,funding_dynamics
funding_rounds,funding_dynamics
funding_duration_days,funding_dynamics
avg_days_between_rounds,funding_dynamics
is_single_round,funding_dynamics
has_round_a,stage_structure
has_round_b,stage_structure
has_round_c,stage_structure
has_round_d,stage_structure
has_round_e,stage_structure
country_code,geography
market,industry
